Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BasicDemo,Chrome 103.0.5060.66,Basic Demo appointment test,,2022-07-06 18:04:36,2022-07-06 18:04:59,23.151s,PASSED
,,,,,,,
Test Cases/Demo,Chrome 103.0.5060.66,,,2022-07-06 18:04:36,2022-07-06 18:04:58,21.948s,PASSED
"openBrowser("""")",Chrome 103.0.5060.66,,,2022-07-06 18:04:37,2022-07-06 18:04:39,2.632s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 103.0.5060.66,,,2022-07-06 18:04:39,2022-07-06 18:04:43,3.188s,PASSED
"click(findTestObject(""Object Repository/DemoBooked/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.66,,,2022-07-06 18:04:43,2022-07-06 18:04:43,0.975s,PASSED
"setText(findTestObject(""Object Repository/DemoBooked/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 103.0.5060.66,,,2022-07-06 18:04:43,2022-07-06 18:04:44,0.715s,PASSED
"click(findTestObject(""Object Repository/DemoBooked/Page_CURA Healthcare Service/div_Demo account_input-group""))",Chrome 103.0.5060.66,,,2022-07-06 18:04:44,2022-07-06 18:04:45,0.406s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DemoBooked/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 103.0.5060.66,,,2022-07-06 18:04:45,2022-07-06 18:04:45,0.514s,PASSED
"click(findTestObject(""Object Repository/DemoBooked/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.66,,,2022-07-06 18:04:45,2022-07-06 18:04:46,1.009s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/DemoBooked/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 103.0.5060.66,,,2022-07-06 18:04:46,2022-07-06 18:04:47,1.082s,PASSED
"click(findTestObject(""Object Repository/DemoBooked/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 103.0.5060.66,,,2022-07-06 18:04:47,2022-07-06 18:04:48,0.390s,PASSED
"click(findTestObject(""Object Repository/DemoBooked/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 103.0.5060.66,,,2022-07-06 18:04:48,2022-07-06 18:04:48,0.454s,PASSED
"click(findTestObject(""Object Repository/DemoBooked/Page_CURA Healthcare Service/td_14""))",Chrome 103.0.5060.66,,,2022-07-06 18:04:48,2022-07-06 18:04:49,0.562s,PASSED
"setText(findTestObject(""Object Repository/DemoBooked/Page_CURA Healthcare Service/textarea_Comment_comment""), ""This is My demo Appointment"")",Chrome 103.0.5060.66,,,2022-07-06 18:04:49,2022-07-06 18:04:49,0.847s,PASSED
"click(findTestObject(""Object Repository/DemoBooked/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 103.0.5060.66,,,2022-07-06 18:04:49,2022-07-06 18:04:50,0.728s,PASSED
"click(findTestObject(""Object Repository/DemoBooked/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 103.0.5060.66,,,2022-07-06 18:04:50,2022-07-06 18:04:51,0.490s,PASSED
"waitForElementNotClickable(findTestObject(""DemoBooked/Page_CURA Healthcare Service/a_Logout""), 5)",Chrome 103.0.5060.66,,,2022-07-06 18:04:51,2022-07-06 18:04:56,5.759s,PASSED
"click(findTestObject(""Object Repository/DemoBooked/Page_CURA Healthcare Service/a_Logout""))",Chrome 103.0.5060.66,,,2022-07-06 18:04:56,2022-07-06 18:04:57,0.984s,PASSED
closeBrowser(),Chrome 103.0.5060.66,,,2022-07-06 18:04:57,2022-07-06 18:04:58,0.682s,PASSED
